rijec,klasa
posvijetli,0
spektakularniju,0
monogamist,1
prijavu,0
fotografiravši,0
sell,1
prodajno,0
konobarit,0
kaminom,0
sock,1
tijekovima,0
rashlađenu,0
comic,1
legislature,1
print,1
cruise,1
surface,1
grahu,0
dopremljenih,0
spooky,1
swing,1
mučenike,0
ranču,0
brisanje,0
beside,1
televizijskog,0
simulirana,0
protratila,0
razulareno,0
bitnijem,0
nošen,0
becoming,1
prijaznim,0
wit,1
tomislavgradskog,0
izgovorenu,0
lobby,1
youtuberi,1
edition,1
slutila,0
dispute,1
ruralnom,0
wars,1
pejsmejkera,0
mnogobrojnog,0
nenametljiv,0
playstation,1
zatrpamo,0
ekstrakcije,0
sea,1
opsluživala,0
wannabe,1
kanalizacijom,0
postupkom,0
pašticada,0
jedrenjacima,0
responsive,1
velikosrpstvo,0
izreklamira,0
granatira,0
klape,0
buffer,1
ballistic,1
brain,1
minimal,1
skrbe,0
expressly,1
enter,1
sentence,1
scientific,1
sideline,1
shuffle,1
jubilejski,0
arhitekturne,0
clubbing,1
hihotati,0
squat,1
samoprijegornim,0
liberation,1
extended,1
imbecilom,0
hvatske,0
mamurni,0
navrnuti,0
nightclub,1
superman,1
neizvodivo,0
skalini,0
great,1
jumbo,1
aeronautička,0
spomenu,0
beating,1
community,1
bjelovarsko-križevački,0
friend,1
wild-card,1
twerkerica,1
sirovinskog,0
paysafe,1
provalnica,0
nevjernog,0
mahunarkama,0
gladly,1
nesrpskoga,0
fakte,0
mutantske,0
pregnant,1
camera,1
elitne,0
mehaniziranom,0
serve,1
piromanijom,0
gather,1
dosad,0
oštećenicu,0
obredima,0
filibuster,1
teritorijem,0
sjenama,0
farbu,0
odnosnu,0
foto-aparat,0
pointed,1
masked,1
memorira,0
honeymoon,1
trening-kampu,0
wont,1
bremenite,0
login,1
overnight,1
definitor,1
useful,1
preset,1
mračiti,0
today,1
curry,1
continued,1
kreirate,0
predrasuda,0
after-party,1
momaka,0
figuricom,0
proteza,0
already,1
always,1
rebate,1
mostly,1
izbjeglicom,0
bunimo,0
our,1
cruelty,1
algi,0
sludge,1
keltskoj,0
priključimo,0
konstituiranja,0
brush,1
ethical,1
kuharska,0
smjenski,0
procession,1
significantly,1
obrezuje,0
izvadaka,0
lump,1
posjetitelje,0
icon,1
burrito,1
jednodomnog,0
recession,1
sing,1
hike,1
warrior,1
notebook,1
posramljeno,0
sokola,0
explosions,1
tropical,1
copywriteri,1
iscjeljivao,0
vertical,1
secure,1
second,1
framework,1
dating,1
health,1
mandolinist,1
tenkisti,0
zjenice,0
body,1
coffee,1
sigetskih,0
pakistanska,0
imperator,1
beyond,1
primjerka,0
nosin,0
curl,1
bubble,1
zrnata,0
peak,1
outgoing,1
prevezu,0
ground,1
vrtica,0
literacy,1
piletina,0
relatively,1
stiletto,1
breakbeat,1
solution,1
degeneraciji,0
tweet,1
completed,1
circulation,1
chick,1
somebody,1
simbolu,0
paying,1
choke,1
faksom,0
zauzetošću,0
insert,1
pokorila,0
keyless,1
vojvodstvo,0
poštivano,0
suočavajući,0
prominent,1
četvronih,0
rouge,1
plug-in,1
vision,1
vriskati,0
cosplayu,1
launch,1
krasno,0
streptokokna,0
prestigious,1
petite,1
piece,1
najosjetljivijima,0
playmakera,1
foxtrot,1
fotosession,1
napučuju,0
disclaimer,1
metropola,0
dolina,0
official,1
kreativku,0
realityji,1
bodyguard,1
carmaker,1
ranch,1
heroizam,0
ride,1
uzdati,0
lady,1
historic,1
dining,1
deplasiran,0
fat,1
kamenine,0
prsno,0
soccer,1
profići,0
al-tanija,0
faxu,1
predsezonu,0
tasting,1
paddling,1
comeback,1
iniciran,0
ublažavanjem,0
učiteljskog,0
allies,1
proširenoj,0
cool,1
najsmrtonosnijima,0
wonderful,1
kliconoštvo,0
parataekwondou,1
unseen,1
wartime,1
doskora,0
input,1
osjetnih,0
posredujemo,0
tales,1
pen,1
najbanalnijih,0
zaglupljivanja,0
proračunata,0
family,1
crawl,1
zvanična,0
farming,1
redistribuiranja,0
volley,1
okruglastog,0
overdose,1
sensual,1
found,1
rewind,1
krivotvoritelji,0
tired,1
pošalju,0
windows,1
tracker,1
kromatske,0
older,1
škropilo,0
kompromitacije,0
chips,1
twin,1
lifestyle,1
comment,1
kopajući,0
cjevčicama,0
stanara,0
avioindustrija,0
supernegativac,0
impossible,1
mores,1
ishodio,0
said,1
popular,1
envy,1
keep,1
omogućeno,0
odvajanje,0
nedemokratskih,0
konjokradica,0
prvoligašica,0
experiment,1
encounter,1
gain,1
svirka,0
vehicle,1
collision,1
zakržljao,0
bezmalo,0
meter,1
funeral,1
cross-country,1
novinar-urednik,0
displaying,1
birth,1
veleučilištima,0
sortimenti,0
antropološke,0
reservations,1
all-nighter,1
oporavljenici,0
konzultirani,0
brutality,1
zdravlju,0
timeline,1
isprepleće,0
toplomjeri,0
provjerljivim,0
utišajte,0
bloom,1
britvicama,0
too,1
speedwaya,1
playbacka,1
hidrografskog,0
konjari,0
lifts,1
premium,1
utrljava,0
federa,0
cash-flow,1
botoxu,1
yachting,1
challenger,1
peterci,0
white,1
cocrystallization,1
fascinating,1
situaciji,0
flat,1
council,1
tkaonica,0
revnosti,0
compound,1
himself,1
glavaš,0
halloween,1
dohocima,0
zoo,1
zbirni,0
tviteraš,0
dogu,0
ruž,0
svladalo,0
propisivali,0
detoksom,0
zgotovljenih,0
brendiran,0
izvještena,0
piljene,0
opustošenim,0
pripremni,0
porn,1
kill,1
ferpleja,0
zagrmjela,0
twin-scroll,1
trpanje,0
toll,1
nizina,0
čečenski,0
incentive,1
message,1
twitera,1
booze,1
guilty,1
odvodio,0
county,1
kremira,0
zemljii,0
lightshow,1
hrčaka,0
accident,1
poklončićem,0
uletio,0
ranije,0
pelješe,0
cherry,1
uspite,0
bungee,1
contact,1
grappler,1
writer,1
practical,1
gnjevna,0
prihvaćen,0
lonely,1
vet,1
is,1
najčišću,0
najinteligentnijih,0
kompaktnim,0
retook,1
kobasicama,0
pridigla,0
popustit,0
smotaju,0
pokrpale,0
grand,1
voodoo,1
maximum,1
zamagljivanje,0
kukičati,0
everybody,1
grozota,0
dočaravaju,0
nabijao,0
streets,1
elementarna,0
press,1
guard,1
sticker,1
odstranjuje,0
axe,1
točniji,0
razbuktati,0
istraživala,0
patient,1
centurion,1
samosvojnosti,0
walks,1
nakladničke,0
worry,1
enforcement,1
botaničkim,0
reaper,1
iscrpite,0
nastavljajući,0
lunaparkove,0
tapping,1
strasna,0
melju,0
zafrkaje,0
optereti,0
desetosatnog,0
deck,1
izbu,0
izumiru,0
općinskog,0
scrap,1
proljetne,0
tenori,0
streetworkout,1
brought,1
propitali,0
desertne,0
uhranjenosti,0
spider,1
powerbank,1
tuđmanovci,0
pianist,1
grožđicama,0
skiing,1
default,1
vratovi,0
storyline,1
perutala,0
work,1
shook,1
intriga,0
playback,1
rekapitulira,0
ćudljivoj,0
gracias,0
clearly,1
porno-zvijezda,0
nesvršeni,0
mood,1
načim,0
speedway,1
head,1
beachwear,1
pravaško,0
frigati,0
coil,1
load,1
whole,1
survive,1
hi-tech,1
teorijom,0
nature,1
slikaje,0
kraljevinama,0
invazivnosti,0
play-maker,1
version,1
trbušinom,0
predanog,0
grip,1
dišnog,0
pucama,0
finalizirala,0
wealthy,1
right,1
ridera,1
sumnjivaca,0
vrulje,0
murterskih,0
dumping,1
obnavljane,0
kontrolom,0
bundle,1
bodybuilderica,1
spokesman,1
izvaljeni,0
dirigiran,0
windsurfer,1
pitone,0
mehaničarima,0
angažiravši,0
slash,1
decades,1
autentikaciju,0
dragovoljnost,0
poistovjećivao,0
nošenje,0
falling,1
organization,1
zanesenjaka,0
medusobno,0
sortiment,1
riskiralo,0
ukupna,0
doubt,1
vatromet,0
tweetu,1
bag,1
pobijedih,0
ispiranje,0
ispuštajući,0
based,1
baroque-pop,1
dubrovačkih,0
usredotočenu,0
pride,1
bulling,1
klimnuo,0
crude,1
kormilo,0
mustard,1
podmlatka,0
addressing,1
dobrovoljac,0
nacionale,0
affinity,1
flank,1
boxovima,1
bokobran,0
eksplozivima,0
toddy,1
normal,1
buffalo,1
ugošćenih,0
vladin,0
announce,1
političnosti,0
tub,1
pink,1
dvostruk,0
tributes,1
samotnjaku,0
zvukova,0
sličilo,0
terana,0
upon,1
štrecnulo,0
kozalskom,0
burning,1
pivica,0
cell,1
cijel,0
grunge,1
udvostručuju,0
podebljalo,0
neforsirana,0
čvorugu,0
quit,1
lead,1
cheat,1
mopedisti,0
praznovjerjem,0
oboist,1
war,1
victory,1
redizajniran,0
socijalniji,0
parliament,1
najmisterioznije,0
hrvao,0
judo,1
bop,1
flašama,0
kučke,0
čistki,0
sand,1
nedovršenom,0
export-import,1
valjati,0
bed,1
latter,1
grain,1
omogućim,0
partnerovo,0
planiraju,0
rebel,1
lokalnome,0
bilogorski,0
bodlje,0
suroviji,0
priložen,0
pervertit,0
hoodie,1
eksplikacija,0
plaćeniji,0
